config_id,n_layers,layers_str,alpha,total_steps,top1_agree_count,top1_pct,mean_kl,mean_js,mean_prob_gap,confident_flips,moderate_flips,ambiguous_flips,kl_at_confident,kl_at_ambiguous
L7,4,"15,18,21,24",0.25,85,84,98.8235,0.003402,0.000831,0.519529,0,0,1,0.001239,0.007331
L0,1,18,0.3,85,85,100.0,0.001376,0.00034,0.519529,0,0,0,0.000378,0.003108
L1,2,"18,24",0.3,85,85,100.0,0.002074,0.000499,0.519529,0,0,0,0.000638,0.003672
L2,5,"15,18,21,24,27",0.3,85,84,98.8235,0.005152,0.001259,0.519529,0,0,1,0.001721,0.011625
L3,10,"10,12,14,16,18,20,22,24,26,27",0.3,85,81,95.2941,0.008743,0.00209,0.519529,0,0,4,0.002378,0.021447
L4,3,"18,19,20",0.3,85,84,98.8235,0.002632,0.00064,0.519529,0,0,1,0.000838,0.007588
L5,6,"12,15,18,21,24,27",0.3,85,85,100.0,0.007604,0.001874,0.519529,0,0,0,0.002403,0.016749
L6,3,"18,21,24",0.3,85,84,98.8235,0.002559,0.00062,0.519529,0,0,1,0.000797,0.004881
L7,4,"15,18,21,24",0.3,85,84,98.8235,0.004685,0.001146,0.519529,0,0,1,0.001579,0.01044
L0,1,18,0.4,85,85,100.0,0.002057,0.000509,0.519529,0,0,0,0.000719,0.005119
L1,2,"18,24",0.4,85,85,100.0,0.003252,0.000772,0.519529,0,0,0,0.001005,0.006416
L2,5,"15,18,21,24,27",0.4,85,84,98.8235,0.00814,0.00199,0.519529,0,0,1,0.002588,0.019163
L3,10,"10,12,14,16,18,20,22,24,26,27",0.4,85,79,92.9412,0.015109,0.003625,0.519529,0,0,6,0.005392,0.035673
L4,3,"18,19,20",0.4,85,84,98.8235,0.004087,0.000976,0.519529,0,0,1,0.001274,0.012103
L5,6,"12,15,18,21,24,27",0.4,85,83,97.6471,0.011937,0.002937,0.519529,0,0,2,0.004038,0.027072
L6,3,"18,21,24",0.4,85,85,100.0,0.004248,0.001028,0.519529,0,0,0,0.001499,0.008585
L7,4,"15,18,21,24",0.4,85,84,98.8235,0.007363,0.001795,0.519529,0,0,1,0.002339,0.017279
L0,1,18,0.5,85,85,100.0,0.003065,0.000751,0.519529,0,0,0,0.00105,0.007272
L1,2,"18,24",0.5,85,85,100.0,0.004639,0.001098,0.519529,0,0,0,0.001491,0.009413
