prompt_id,layer,head,cv,kl,entropy,p_max
factual,4,3,1.160182,1.9519126,0.725693,0.794855
factual,4,4,1.075942,2.1011472,0.992255,0.679221
factual,4,5,1.10344,2.1861882,0.941119,0.713727
factual,4,6,1.266428,2.26984,0.841065,0.778408
factual,4,7,1.233056,1.6303928,0.535613,0.874944
factual,4,8,1.138566,2.6196153,0.881998,0.727785
factual,4,9,0.807255,1.2777951,0.603384,0.813697
factual,4,10,1.102553,1.7221332,0.62838,0.827382
factual,4,11,0.79531,1.1043417,0.480482,0.859204
factual,4,12,1.139802,1.7837045,0.631666,0.832144
factual,4,13,1.015235,1.368938,0.617194,0.8103
factual,4,14,0.539907,0.6416823,0.31362,0.896246
factual,4,15,1.359492,1.6918038,0.565723,0.876026
factual,4,16,0.750549,0.5496345,0.206736,0.963108
factual,4,17,1.248348,1.1581645,0.514681,0.886204
factual,4,18,1.177167,2.0183172,0.61213,0.845893
factual,4,19,1.148023,1.6130314,0.686078,0.817943
factual,4,20,1.228575,1.7476797,0.654274,0.828636
factual,4,21,0.484663,0.3239328,0.115252,0.980854
factual,4,22,0.511329,0.3244503,0.118226,0.980842
factual,4,23,0.952491,1.7198541,0.51332,0.863948
factual,5,0,0.994528,1.1542342,0.345691,0.929571
factual,5,1,0.853252,0.7289195,0.25218,0.95219
factual,5,2,1.183222,1.6576471,0.672895,0.809431
factual,5,3,1.137519,1.4826912,0.669418,0.824963
factual,5,4,1.049133,1.5610931,0.582057,0.832458
factual,5,5,1.232374,1.7109895,0.600554,0.861881
factual,5,6,0.463101,0.5353184,0.176657,0.957965
factual,5,7,0.208244,0.127342,0.046074,0.992469
factual,5,8,0.697522,1.2272238,0.499213,0.818314
factual,5,9,1.024459,1.5374448,0.913936,0.721265
factual,5,10,0.953436,1.7615589,0.640474,0.811231
factual,5,11,1.179808,1.7183928,0.680422,0.824679
factual,5,12,1.220283,3.1773956,0.944084,0.731423
factual,5,13,1.108262,2.4703665,1.056924,0.674359
factual,5,14,1.392043,1.7659991,0.852046,0.77907
factual,5,15,1.056478,0.9022738,0.350265,0.929848
factual,5,16,1.342459,1.5502062,0.521773,0.890426
factual,5,17,1.04998,1.3928341,0.530927,0.858225
factual,5,18,1.221825,1.6452971,0.53462,0.876469
factual,5,19,1.187844,1.4779949,0.450282,0.904244
factual,5,20,1.379339,1.8905742,0.643806,0.853848
factual,5,21,1.285601,2.4441931,0.803224,0.787018
factual,5,22,1.044627,0.7710775,0.463825,0.8829
factual,5,23,0.996672,1.4568418,0.668275,0.795243
factual,6,0,1.15665,1.5605085,0.583607,0.855938
factual,6,1,0.85573,1.5623863,0.457313,0.878499
factual,6,2,1.139082,1.2861962,0.621932,0.827461
factual,6,3,1.273336,2.5593939,0.94524,0.734288
factual,6,4,1.195999,1.8941336,0.618687,0.85195
factual,6,5,1.151439,1.6799257,0.770933,0.78944
factual,6,6,1.082781,1.4241666,0.512246,0.87798
factual,6,7,0.929244,0.6902797,0.655059,0.802569
factual,6,8,1.072003,1.397066,0.567051,0.85307
factual,6,9,1.193148,2.0830574,0.835179,0.755207
factual,6,10,1.287386,1.7128747,0.618284,0.858298
factual,6,11,1.193819,2.4121671,0.784687,0.784372
factual,6,12,0.951223,1.3976134,0.625212,0.799796
factual,6,13,1.213157,1.4987406,0.62925,0.8326
factual,6,14,1.00963,1.3147172,0.573913,0.832912
factual,6,15,1.093779,2.5891171,1.12675,0.661757
factual,6,16,1.183449,2.9808433,1.078763,0.693226
factual,6,17,0.984914,1.6453073,0.715666,0.790672
factual,6,18,1.095887,1.1462656,0.36922,0.927186
factual,6,19,0.845704,0.8659321,0.262018,0.949868
factual,6,20,1.33196,1.9353027,0.656341,0.845922
factual,6,21,0.995008,2.0740201,0.612075,0.828876
factual,6,22,0.855723,2.5271511,0.737646,0.775131
factual,6,23,1.025747,2.1929595,0.889336,0.716193
factual,7,0,0.81956,1.659899,1.125228,0.598081
factual,7,1,0.792504,2.2672291,1.106354,0.605566
factual,7,2,1.165566,1.6646116,0.674276,0.828813
factual,7,3,1.387971,1.9968383,0.673573,0.844283
factual,7,4,1.31168,2.0981932,0.647227,0.848103
factual,7,5,1.369056,1.7635319,0.668763,0.842676
factual,7,6,0.976778,3.2007318,1.305406,0.593234
factual,7,7,1.244786,2.6182461,1.026414,0.702667
factual,7,8,1.072019,2.511317,0.910486,0.716288
factual,7,9,1.176502,2.5357037,0.909789,0.738027
factual,7,10,1.144468,2.3238723,0.853146,0.757837
factual,7,11,1.154201,2.2170854,0.926443,0.720095
factual,7,12,1.294836,1.7005844,0.550902,0.876511
factual,7,13,1.078869,2.0704067,0.882193,0.719914
factual,7,14,1.410101,1.9691042,0.830552,0.796601
factual,7,15,1.355391,2.3611772,0.97682,0.740508
factual,7,16,1.070876,3.0399044,1.149272,0.646465
factual,7,17,1.234953,1.7307117,0.689637,0.826632
factual,7,18,0.99229,1.9866996,0.908181,0.723932
factual,7,19,1.063753,1.9615533,0.853041,0.758635
factual,7,20,0.824659,1.2804075,0.771724,0.719884
factual,7,21,1.192143,2.3095279,0.840086,0.752618
factual,7,22,1.088096,1.7945223,0.670877,0.789946
factual,7,23,1.195978,2.780901,0.901897,0.751485
factual,8,0,1.088899,1.4354753,0.587112,0.847327
factual,8,1,1.002149,1.8508005,0.888853,0.736869
